Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	elephant.log	512	8	0.070222	0.000938	381.12	5.427	1,082,022,517	1,179,059,577	0	1	0
mandelbrot_pth	elephant.log	512	16	0.050557	0.000582	431.86	8.542	1,093,446,760	1,219,590,199	0	1	0
mandelbrot_pth	elephant.log	512	32	0.03792	0.00155	464.62	12.252	1,304,823,956	1,208,927,908	0	1	0
mandelbrot_pth	elephant.log	1024	1	1.5114	0.0465	1,510.83	1	4,326,235,881	4,707,590,211	0	1	0
mandelbrot_pth	elephant.log	1024	2	0.9292	0.0499	1,791.39	1.928	4,304,179,257	4,698,257,360	0	1	0
mandelbrot_pth	elephant.log	1024	4	0.499	0.0328	1,514.12	3.035	4,312,229,091	4,697,153,916	0	1	0
mandelbrot_pth	elephant.log	1024	8	0.3957	0.0348	1,980.37	5.004	4,317,969,374	4,687,529,540	0	1	0
mandelbrot_pth	elephant.log	1024	16	0.19064	0.00556	1,618.78	8.491	4,483,608,482	4,681,381,352	0	1	0
mandelbrot_pth	elephant.log	1024	32	0.14114	0.00608	1,822.34	12.912	5,279,325,205	4,708,344,755	0	1	0
mandelbrot_pth	elephant.log	2048	1	5.5204	0.0492	5,518.22	1	17,292,690,758	18,832,664,760	0	1	0
mandelbrot_pth	elephant.log	2048	2	3.1653	0.0728	5,959.51	1.883	17,287,632,604	18,825,874,460	0	1	0
mandelbrot_pth	elephant.log	2048	4	1.9047	0.0487	6,240.68	3.277	17,271,817,618	18,816,574,570	0	1	0
mandelbrot_pth	elephant.log	2048	8	1.212	0.0369	7,105.74	5.863	17,233,566,351	18,798,390,821	0	1	0
mandelbrot_pth	elephant.log	2048	16	0.8413	0.0351	8,386.44	9.969	17,570,340,673	18,820,803,398	0	1	0
mandelbrot_pth	elephant.log	2048	32	0.5274	0.0188	7,773.06	14.738	21,160,273,795	18,793,413,721	0	1	0
mandelbrot_pth	elephant.log	4096	1	21.5286	0.0292	21,514.64	0.999	69,194,297,479	75,361,563,312	0	1	0
mandelbrot_pth	elephant.log	4096	2	11.787	0.118	22,338.40	1.895	69,150,876,804	75,339,886,398	0	1	0
mandelbrot_pth	elephant.log	4096	4	7.079	0.0486	22,718.92	3.209	69,183,768,307	75,325,422,330	0	1	0
mandelbrot_pth	elephant.log	4096	8	4.4444	0.037	24,498.95	5.512	69,291,013,334	75,369,313,492	0	1	0
mandelbrot_pth	elephant.log	4096	16	2.8798	0.0673	25,556.89	8.874	69,829,008,255	75,239,069,192	0	1	0
mandelbrot_pth	elephant.log	4096	32	2.1202	0.0639	33,182.49	15.651	84,603,207,267	75,213,006,941	0	1	0
